url,path,local_file,kind,status,market
https://bertlclaw.at/landingpage-aachen-ki-berater.html,/landingpage-aachen-ki-berater.html,landingpage-aachen-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aachen-projektmanager.html,/landingpage-aachen-projektmanager.html,landingpage-aachen-projektmanager.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aachen-unternehmensberater.html,/landingpage-aachen-unternehmensberater.html,landingpage-aachen-unternehmensberater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aarau-hr-berater.html,/landingpage-aarau-hr-berater.html,landingpage-aarau-hr-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aarau-it-berater.html,/landingpage-aarau-it-berater.html,landingpage-aarau-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aarau-ki-berater.html,/landingpage-aarau-ki-berater.html,landingpage-aarau-ki-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-aarau-seo-berater.html,/landingpage-aarau-seo-berater.html,landingpage-aarau-seo-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-amstetten-berater.html,/landingpage-amstetten-berater.html,landingpage-amstetten-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-amstetten-it-berater.html,/landingpage-amstetten-it-berater.html,landingpage-amstetten-it-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-amstetten-unternehmensberater.html,/landingpage-amstetten-unternehmensberater.html,landingpage-amstetten-unternehmensberater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-augsburg-berater.html,/landingpage-augsburg-berater.html,landingpage-augsburg-berater.html,cluster_or_other,missing_local,DE_or_other
https://bertlclaw.at/landingpage-augsburg-it-berater.html,/landingpage-augsburg-it-berater.html,landingpage-augsburg-it-berater.html,cluster_or_other,missing_local,DE_or_other
